id,name,description
1,Электроника,Электронные устройства и гаджеты
2,Смартфоны,Мобильные телефоны и аксессуары
3,Ноутбуки,Портативные компьютеры и ультрабуки
4,Планшеты,Планшетные компьютеры и электронные книги
5,Наушники,Проводные и беспроводные наушники
6,Колонки,Портативные и стационарные акустические системы
7,Одежда,Мужская и женская одежда
8,Кроссовки,Спортивная и повседневная обувь
9,Куртки,Верхняя одежда для всех сезонов
10,Джинсы,Джинсовая одежда и брюки
11,Рубашки,Мужские и женские рубашки
12,Платья,Женские платья различных стилей
13,Бытовая техника,Техника для дома и кухни
14,Пылесосы,Роботы-пылесосы и обычные пылесосы
15,Кофемашины,Автоматические и полуавтоматические кофемашины
16,Микроволновки,Микроволновые печи различной мощности
17,Холодильники,Холодильники и морозильные камеры
18,Стиральные машины,Автоматические стиральные машины
19,Спорт и отдых,Товары для активного отдыха
20,Велосипеды,Горные и городские велосипеды
21,Лыжи,Горные и беговые лыжи
22,Сноуборды,Сноуборды и аксессуары
23,Палатки,Туристические и кемпинговые палатки
24,Рюкзаки,Туристические и городские рюкзаки
25,Книги,Художественная и техническая литература
26,Художественная литература,Романы и повести
27,Техническая литература,Учебники и справочники
28,Детские книги,Книги для детей всех возрастов
29,Комиксы,Графические романы и комиксы
30,Энциклопедии,Справочные издания
31,Автотовары,Товары для автомобилей
32,Шины,Летние и зимние автомобильные шины
33,Масла,Моторные и трансмиссионные масла
34,Аккумуляторы,Автомобильные аккумуляторы
35,Автохимия,Средства по уходу за автомобилем
36,Запчасти,Оригинальные и неоригинальные запчасти
37,Красота и здоровье,Косметика и товары для здоровья
38,Косметика,Декоративная и уходовая косметика
39,Парфюмерия,Духи и туалетная вода
40,Витамины,Биологически активные добавки
41,Медтехника,Медицинские приборы и устройства
42,Средства гигиены,Товары для личной гигиены
43,Дом и сад,Товары для дома и дачи
44,Мебель,Мебель для дома и офиса
45,Освещение,Светильники и лампы
46,Текстиль,Постельное белье и полотенца
47,Посуда,Кухонная посуда и столовые приборы
48,Инструменты,Ручные и электроинструменты
49,Детские товары,Товары для детей
50,Игрушки,Развивающие и развлекательные игрушки
51,Коляски,Детские коляски и автокресла
52,Детская одежда,Одежда для детей всех возрастов
53,Подгузники,Одноразовые и многоразовые подгузники
54,Детское питание,Смеси и пюре для детей
