id,name,inn,barcode,description,category_ids
1,Apple iPhone 15 Pro,1234567890,1234567890123,Флагманский смартфон Apple с процессором A17 Pro и тройной камерой,"1,2"
2,Samsung Galaxy S24 Ultra,2345678901,2345678901234,Премиальный Android-смартфон с S Pen и камерой 200 МП,"1,2"
3,MacBook Air M3 13,3456789012,3456789012345,Ультратонкий ноутбук Apple на процессоре M3 с 13-дюймовым дисплеем,"1,3"
4,Dell XPS 13 Plus,4567890123,4567890123456,Компактный премиальный ноутбук с процессором Intel Core i7,"1,3"
5,iPad Pro 12.9 M2,5678901234,5678901234567,Профессиональный планшет Apple с процессором M2 и дисплеем Liquid Retina XDR,"1,4"
6,Samsung Galaxy Tab S9,6789012345,6789012345678,Премиальный Android-планшет с S Pen и AMOLED дисплеем,"1,4"
7,AirPods Pro 2,7890123456,7890123456789,Беспроводные наушники Apple с активным шумоподавлением,"1,5"
8,Sony WH-1000XM5,8901234567,8901234567890,Профессиональные накладные наушники с лучшим шумоподавлением,"1,5"
9,JBL Charge 5,9012345678,9012345678901,Портативная Bluetooth-колонка с защитой от воды IP67,"1,6"
10,Marshall Acton III,1023456789,1023456789012,Стильная домашняя Bluetooth-колонка в ретро-стиле,"1,6"
11,Nike Air Max 270,1357902468,1357902468013,Мужские кроссовки для бега с технологией Air Max,"7,8"
12,Adidas Ultraboost 23,2468135790,2468135790124,Премиальные беговые кроссовки с технологией Boost,"7,8"
13,Levi's 501 Original,3579024681,3579024681235,Классические мужские джинсы прямого кроя,"7,10"
14,Zara Slim Fit Shirt,4681357902,4681357902346,Мужская рубашка приталенного кроя из хлопка,"7,11"
15,H&M Summer Dress,5792468135,5792468135457,Летнее женское платье из легкой ткани,"7,12"
16,The North Face Jacket,6803579246,6803579246568,Мужская куртка для активного отдыха с мембраной Gore-Tex,"7,9"
17,Dyson V15 Detect,7914680357,7914680357679,Беспроводной пылесос с лазерным детектором пыли,"13,14"
18,Roomba j7+,8025791468,8025791468780,Робот-пылесос с самоочисткой и ИИ-навигацией,"13,14"
19,De'Longhi Dinamica,9136802579,9136802579891,Автоматическая кофемашина с встроенной кофемолкой,"13,15"
20,Nespresso Vertuo Next,1247913680,1247913680902,Капсульная кофемашина с технологией центрифуги,"13,15"
21,Panasonic NN-SD27,1358024791,1358024791013,Микроволновая печь с инверторной технологией 27л,"13,16"
22,Samsung MS23K3513,2469135802,2469135802124,Соло микроволновая печь 23л с керамическим покрытием,"13,16"
23,LG GR-X24FTQKL,3570246913,3570246913235,Холодильник Side-by-Side с инверторным компрессором,"13,17"
24,Bosch KGN39VI22R,4681357024,4681357024346,Двухкамерный холодильник No Frost с VitaFresh,"13,17"
25,Samsung WW90T4540,5792468136,5792468136457,Стиральная машина с EcoBubble и загрузкой 9 кг,"13,18"
26,LG F2V5HS0W,6803579247,6803579247568,Стиральная машина с прямым приводом и паром,"13,18"
27,Trek Marlin 7,7914680358,7914680358679,Горный велосипед с алюминиевой рамой и 21 скоростью,"19,20"
28,Giant Escape 3,8025791469,8025791469780,Городской велосипед для комфортных поездок,"19,20"
29,Rossignol Experience,9136802580,9136802580891,Горные лыжи для продвинутых лыжников,"19,21"
30,Salomon QST 92,1247913681,1247913681902,Универсальные горные лыжи для фрирайда,"19,21"
31,Burton Custom X,1358024792,1358024792013,Профессиональный сноуборд для агрессивного катания,"19,22"
32,Lib Tech Orca,2469135803,2469135803124,Универсальный сноуборд для всех условий,"19,22"
33,MSR Hubba Hubba NX,3570246914,3570246914235,Двухместная туристическая палатка 3 сезона,"19,23"
34,Big Agnes Copper Spur,4681357025,4681357025346,Ультралегкая палатка для пеших походов,"19,23"
35,Osprey Atmos AG 65,5792468137,5792468137457,Туристический рюкзак с системой вентиляции спины,"19,24"
36,Deuter Aircontact Lite,6803579248,6803579248568,Треккинговый рюкзак с анатомической спинкой,"19,24"
37,Война и мир,7914680359,7914680359679,Роман-эпопея Льва Толстого о войне 1812 года,"25,26"
38,Мастер и Маргарита,8025791470,8025791470780,Мистический роман Михаила Булгакова,"25,26"
39,JavaScript. Подробное руководство,9136802581,9136802581891,Полное руководство по программированию на JavaScript,"25,27"
40,Алгоритмы. Построение и анализ,1247913682,1247913682902,Классический учебник по алгоритмам и структурам данных,"25,27"
41,Гарри Поттер и философский камень,1358024793,1358024793013,Первая книга о юном волшебнике от Дж.К. Роулинг,"25,28"
42,Винни-Пух,2469135804,2469135804124,Классическая детская сказка Алана Милна,"25,28"
43,Spider-Man. Amazing Fantasy,3570246915,3570246915235,Первое появление Человека-паука в комиксах Marvel,"25,29"
44,Batman. Year One,4681357026,4681357026346,Классическая история происхождения Бэтмена,"25,29"
45,Большая российская энциклопедия,5792468138,5792468138457,Универсальная энциклопедия в 35 томах,"25,30"
46,Britannica Encyclopedia,6803579249,6803579249568,Знаменитая британская энциклопедия,"25,30"
47,Michelin Pilot Sport 4,7914680360,7914680360679,Летние шины для спортивных автомобилей 225/45 R17,"31,32"
